样本编号,来源文件,决策时刻,主玩家ID,主玩家队伍,主玩家角色,决策日志,决策内容,决策参数1,决策参数2,主玩家位置X,主玩家位置Y,主玩家位置Z,主玩家武器偏航角,主玩家武器俯仰角,主玩家速度X,主玩家速度Y,主玩家速度Z,主玩家速度大小,主玩家相机X坐标,主玩家相机Y坐标,主玩家相机Z坐标,主玩家视野范围,主玩家开镜状态,主玩家Buff数量,主玩家Buff列表,当前已追踪玩家数量,敌方玩家数量,队友玩家数量,敌人平均距离,队友平均距离,10米内敌人数,20米内敌人数,10米内队友数,20米内队友数,最近敌人ID,最近敌人队伍,最近敌人角色,最近敌人距离,最近敌人相对位置X,最近敌人相对位置Y,最近敌人相对位置Z,最近敌人位置X,最近敌人位置Y,最近敌人位置Z,最近敌人武器偏航角,最近敌人武器俯仰角,最近敌人速度X,最近敌人速度Y,最近敌人速度Z,最近敌人速度大小,最近敌人相机X坐标,最近敌人相机Y坐标,最近敌人相机Z坐标,最近敌人视野范围,最近敌人开镜状态,最近敌人Buff数量,最近敌人Buff列表,最近队友ID,最近队友队伍,最近队友角色,最近队友距离,最近队友相对位置X,最近队友相对位置Y,最近队友相对位置Z,最近队友位置X,最近队友位置Y,最近队友位置Z,最近队友武器偏航角,最近队友武器俯仰角,最近队友速度X,最近队友速度Y,最近队友速度Z,最近队友速度大小,最近队友相机X坐标,最近队友相机Y坐标,最近队友相机Z坐标,最近队友视野范围,最近队友开镜状态,最近队友Buff数量,最近队友Buff列表
602,task/0602.txt,20.0,8304,4,30008,,,,,3743.4,-247.0,-4621.0,107.3,352.7,-1.0,-0.1,1.8,2.0615528128088303,3743.4,-246.4,-4621.0,120.0,0.0,0,,20,17,2,206.56769002971515,48.35422613762872,0,0,0,0,5223,5,骇爪,30.600326795640544,5.799999999999727,-5.699999999999989,29.5,3749.2,-252.7,-4591.5,233.8,357.7,0.0,0.0,0.0,0.0,3748.8,-252.0,-4591.4,85.7,0.0,0,,1460,4,蝶,44.697203491941266,41.0,0.0,17.800000000000182,3784.4,-247.0,-4603.2,1.5,351.7,2.1,0.0,2.3,3.1144823004794873,3784.4,-246.4,-4603.2,95.0,0.0,0,
603,task/0603.txt,20.0,9276,5,乌鲁鲁,,,,,3909.4,-244.6,-4810.0,333.2,341.0,0.0,0.0,0.0,0.0,3909.4,-243.9,-4810.0,120.0,0.0,0,,20,12,2,319.53974249992706,41.02831304383681,0,0,1,1,9049,8,威龙,202.7052540019622,-90.90000000000009,-8.099999999999994,181.0,3818.5,-252.7,-4629.0,137.9,358.8,0.0,0.0,-0.8,0.8,3818.5,-252.0,-4629.0,120.0,0.0,9,1063；1064；1065；1066；1067；1068；1069；1070；1071,7698,5,无名,1.8439088914585282,1.400000000000091,0.0,-1.199999999999818,3910.8,-244.6,-4811.2,139.9,323.9,0.0,0.0,0.0,0.0,3910.8,-243.9,-4811.2,100.0,0.0,0,
604,task/0604.txt,20.0,1723,8,骇爪,,,,,3632.6,-249.6,-4711.6,213.6,334.6,-2.7,0.1,-1.5,3.0903074280724887,3632.6,-249.0,-4711.6,99.0,0.0,0,,19,8,2,392.25590789428105,10.092307862493715,0,0,1,2,0287,3,银翼,227.74424251778572,201.4000000000001,5.199999999999989,-106.19999999999982,3834.0,-244.4,-4817.8,221.5,352.7,-0.1,0.1,-0.1,0.17320508075688776,3834.0,-244.4,-4817.8,90.0,0.0,0,,4714,8,红狼,8.701149349367467,-3.900000000000091,1.0999999999999943,-7.699999999999818,3628.7,-248.5,-4719.3,260.7,351.1,-2.3,1.3,-0.9,2.7910571473905725,3628.7,-247.8,-4719.3,95.0,0.0,0,
605,task/0605.txt,20.0,8304,4,30008,,,,,3837.0,-254.9,-4706.6,77.9,0.0,0.0,0.0,0.0,0.0,3837.0,-254.2,-4706.6,90.0,0.0,17,13；14；20；40；41；42；43；44；45；46；47；48；49；50；51；52；53,20,17,2,267.8165504267346,4.662258736233851,0,0,2,2,2595,7,威龙,105.03494656541697,98.0,4.700000000000017,37.5,3935.0,-250.2,-4669.1,140.2,0.0,0.0,0.0,0.0,0.0,3935.0,-249.6,-4669.1,90.0,0.0,3,36；37；38,1460,4,蝶,3.7013511046641674,3.699999999999818,0.09999999999999432,0.0,3840.7,-254.8,-4706.6,77.9,0.0,0.0,0.0,0.0,0.0,3840.7,-254.1,-4706.6,90.0,0.0,2,18；19
606,task/0606.txt,20.0,2895,1,露娜,,,,,6693.5,-207.3,-4738.9,86.5,358.1,-0.3,0.0,0.0,0.3,6693.5,-207.3,-4738.9,36.9,0.0,0,,18,15,2,230.8781070369397,68.41480057875931,0,0,0,0,0551,2,露娜,130.56389240521233,-120.39999999999964,-15.399999999999977,48.099999999999454,6573.1,-222.7,-4690.8,284.6,356.2,0.9,0.0,0.2,0.9219544457292888,6573.5,-222.0,-4690.7,107.5,0.0,3,484；485；486,7651,1,威龙,63.67401353770623,-49.69999999999982,0.5,-39.80000000000018,6643.8,-206.8,-4778.7,176.2,336.8,0.0,0.0,0.0,0.0,6643.8,-206.2,-4778.7,120.0,0.0,0,
607,task/0607.txt,20.0,8304,4,30008,,,,,3802.0,-249.9,-4600.0,167.2,15.8,0.2,0.0,-0.0,0.2,3802.0,-249.2,-4600.0,120.0,0.0,6,376；387；390；391；397；435,20,17,2,200.9117300950655,10.26871866396205,0,0,1,2,1981,5,无名,44.10770907675891,-37.0,-0.6999999999999886,24.0,3765.0,-250.6,-4576.0,340.3,358.0,2.2,-0.0,1.1,2.459674775249769,3765.0,-250.2,-4576.0,90.8,0.0,1,423,9956,4,骇爪,2.1771541057076655,-0.6999999999998181,-0.5,-2.0,3801.3,-250.4,-4602.0,155.7,30.3,0.0,0.0,0.0,0.0,3801.3,-249.7,-4602.0,120.0,0.0,4,375；398；402；403
608,task/0608.txt,20.0,8304,4,30008,,,,,3805.9,-247.0,-4637.9,118.4,356.2,-0.3,0.0,-0.1,0.31622776601683794,3805.6,-246.4,-4638.0,120.0,0.0,2,1183；1192,20,13,2,153.38476521558323,5.949275255568206,1,3,1,2,2688,8,疾风,5.1224993899461655,-4.0,0.0,3.199999999999818,3801.9,-247.0,-4634.7,324.3,357.8,4.1,0.0,-1.1,4.244997055358225,3801.9,-246.4,-4634.7,104.8,0.0,7,1184；1185；1189；1204；1205；1206；1207,9956,4,骇爪,1.2041594578788142,-0.900000000000091,0.0,0.7999999999992724,3805.0,-247.0,-4637.1,105.1,0.5,2.8,0.0,0.8,2.912043955712207,3805.0,-246.4,-4637.1,120.0,0.0,1,1195
609,task/0609.txt,20.0,1946,6,无名,,,,,3406.6,-169.8,-7804.6,208.9,354.7,-7.9,-4.1,-1.2,8.981091247727083,3406.6,-169.2,-7804.6,95.0,0.0,0,,15,13,1,326.2420150294337,38.31592358276072,0,0,0,0,5868,1,红狼,70.83360784260516,9.400000000000091,1.0,-70.19999999999982,3416.0,-168.8,-7874.8,134.7,355.8,-6.8,-5.3,-2.1,8.873556220591606,3415.7,-168.2,-7875.0,84.0,0.0,0,,1545,6,无名,38.31592358276072,-31.299999999999727,-0.09999999999999432,-22.099999999999454,3375.3,-169.9,-7826.7,63.9,356.7,0.7,0.0,1.1,1.3038404810405297,3375.3,-169.2,-7826.7,104.8,0.0,1,550
610,task/0610.txt,20.0,8304,4,30008,,,,,3810.9,-246.8,-4634.5,175.6,348.5,-0.1,0.0,-0.0,0.1,3810.9,-246.2,-4634.5,120.0,0.0,16,1292；1293；1294；1295；1296；1297；1298；1299；1300；1301；1302；1303；1304；1305；1306；1309,20,10,2,197.07918312363864,9.958897161816122,0,1,1,2,1981,5,无名,13.919051691836053,4.099999999999909,-0.19999999999998863,13.300000000000182,3815.0,-247.0,-4621.2,253.1,351.7,-2.3,0.0,-3.0,3.7802116342871597,3815.0,-246.4,-4621.2,83.2,0.0,0,,9956,4,骇爪,9.210320298447504,6.299999999999727,-0.5,6.699999999999818,3817.2,-247.3,-4627.8,149.9,0.1,0.8,0.0,-0.4,0.894427190999916,3817.2,-246.8,-4627.8,120.0,0.0,2,1311；1324
611,task/0611.txt,20.0,6823,7,疾风,,,,,6719.9,-198.7,-4511.5,357.6,324.6,-0.2,0.0,-1.6,1.61245154965971,6719.9,-198.0,-4511.5,90.0,0.0,0,,18,8,2,111.71091646421428,3.5019829284407713,0,0,2,2,4198,3,露娜,29.33138251088767,21.800000000000182,-19.5,2.199999999999818,6741.7,-218.2,-4509.3,297.0,352.5,-0.4,0.0,-1.3,1.3601470508735443,6741.7,-217.6,-4509.3,104.8,0.0,0,,5510,7,蛊,2.1377558326436543,0.4000000000005457,0.0,2.100000000000364,6720.3,-198.7,-4509.4,353.5,325.5,0.0,0.0,0.0,0.0,6720.3,-198.0,-4509.4,105.0,0.0,0,
612,task/0612.txt,20.0,0853,6,威龙,,,,,3389.2,-179.4,-7624.2,214.0,12.6,0.0,0.0,0.0,0.0,3389.2,-178.8,-7624.2,89.9,0.0,0,,13,9,0,397.72175310343096,,0,0,0,0,1790,5,银翼,290.9753254143724,77.40000000000009,12.800000000000011,-280.1999999999998,3466.6,-166.6,-7904.4,49.1,328.7,0.0,0.0,0.0,0.0,3466.6,-166.0,-7904.4,90.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,0,
613,task/0613.txt,20.0,8304,4,30008,,,,,3817.2,-247.0,-4628.1,252.3,353.2,-0.1,0.0,-0.2,0.223606797749979,3817.2,-246.4,-4628.1,120.0,0.0,27,1012；1013；1014；1015；1016；1017；1018；1019；1021；1022；1023；1024；1025；1026；1027；1028；1029；1030；1031；1032；1033；1034；1035；1036；1037；1038；1039,20,13,2,156.5580502838389,16.040810147654778,1,1,1,1,7745,8,红狼,5.941380311004904,-5.899999999999636,0.0,0.7000000000007276,3811.3,-247.0,-4627.4,1.1,321.7,0.0,0.0,0.0,0.0,3811.3,-246.4,-4627.4,100.0,0.0,1,1049,9956,4,骇爪,6.60378679243916,-3.5,0.0,-5.599999999999454,3813.7,-247.0,-4633.7,44.6,1.1,-1.1,0.0,-0.9,1.4212670403551897,3813.7,-246.4,-4633.7,120.0,0.0,4,1000；1004；1043；998
614,task/0614.txt,20.0,1946,6,无名,,,,,3380.3,-174.3,-7609.1,-69.2,0.0,0.0,0.0,0.0,0.0,3380.3,-173.6,-7609.1,90.0,0.0,8,26；27；28；29；30；40；6；7,15,13,1,419.0214595502084,2.071231517720602,0,0,1,1,9453,2,50003,341.9001754898641,304.1999999999998,4.700000000000017,-156.0,3684.5,-169.6,-7765.1,-29.2,0.0,0.0,0.0,0.0,0.0,3684.5,-168.9,-7765.1,90.0,0.0,1,25,1545,6,无名,2.071231517720602,-1.900000000000091,0.20000000000001705,-0.7999999999992724,3378.4,-174.1,-7609.9,-69.2,0.0,0.0,0.0,0.0,0.0,3378.4,-173.5,-7609.9,90.0,0.0,2,10；11
615,task/0615.txt,20.0,1801,1,露娜,,,,,6865.9,-222.9,-4486.5,265.8,9.3,0.4,14.2,-0.5,14.21442928857856,6865.9,-222.2,-4486.5,90.0,0.0,0,,19,16,1,319.6604531616166,6.613622305514695,0,0,1,1,5147,3,蛊,187.22419715410751,89.60000000000036,-5.5,-164.30000000000018,6955.5,-228.4,-4650.8,278.1,354.3,1.2,0.0,-8.4,8.48528137423857,6955.5,-227.7,-4650.8,78.6,0.0,0,,9737,1,红狼,6.613622305514695,0.6000000000003638,-5.699999999999989,3.300000000000182,6866.5,-228.6,-4483.2,256.7,356.4,-0.8,0.0,-3.6,3.687817782917155,6866.5,-228.0,-4483.2,90.0,0.0,0,
616,task/0616.txt,20.0,3771,2,露娜,,,,,6639.3,-217.4,-4495.4,342.9,339.6,0.0,0.0,0.0,0.0,6639.3,-217.4,-4495.4,90.0,0.0,0,,17,5,2,24.425698297183164,21.246877097974163,0,2,0,0,3749,1,蝶,14.970303938129645,12.899999999999636,-2.0999999999999943,7.299999999999272,6652.2,-219.5,-4488.1,254.5,356.2,-1.4,0.0,-0.8,1.6124515496597098,6652.2,-218.8,-4488.1,120.0,0.0,0,,4790,2,威龙,21.01190138945087,5.0,-2.0999999999999943,-20.300000000000182,6644.3,-219.5,-4515.7,204.4,360.0,0.0,0.0,0.0,0.0,6644.3,-218.8,-4515.7,85.0,0.0,0,
617,task/0617.txt,20.0,1946,6,无名,,,,,3383.9,-169.9,-7822.3,185.1,0.2,-0.2,0.0,1.7,1.7117242768623688,3383.9,-169.2,-7822.3,92.3,0.0,0,,15,13,1,336.490162126743,1.2206555615735546,0,0,1,1,5868,1,红狼,44.62846625193385,3.199999999999818,1.0999999999999943,-44.5,3387.1,-168.8,-7866.8,111.8,358.9,1.3,0.0,0.5,1.392838827718412,3386.8,-168.2,-7867.0,84.0,0.0,0,,1545,6,无名,1.2206555615735546,-0.900000000000091,-0.19999999999998863,-0.8000000000001819,3383.0,-170.1,-7823.1,264.6,353.9,-0.3,0.0,-3.0,3.014962686336267,3383.0,-169.7,-7823.1,104.8,0.0,3,569；570；571
618,task/0618.txt,20.0,5801,7,银翼,,,,,3962.5,-250.3,-4555.5,109.9,0.0,0.0,0.0,0.0,0.0,3962.5,-249.7,-4555.5,90.0,0.0,10,18；36；37；38；39；40；41；42；43；61,19,17,1,289.0128404649603,3.623534186398442,0,0,1,1,0287,3,银翼,155.2581398832282,-118.90000000000009,2.8000000000000114,99.80000000000018,3843.6,-247.5,-4455.7,140.9,0.0,0.0,0.0,0.0,0.0,3843.6,-246.8,-4455.7,90.0,0.0,8,194；195；196；197；198；199；200；6,3466,7,银翼,3.623534186398442,1.699999999999818,0.0,-3.199999999999818,3964.2,-250.3,-4558.7,109.9,0.0,0.0,0.0,0.0,0.0,3964.2,-249.7,-4558.7,90.0,0.0,9,11；62；63；64；65；66；67；68；95
619,task/0619.txt,20.0,2115,3,蝶,,,,,3634.6,-246.2,-4717.2,157.0,348.8,-0.3,0.0,-0.4,0.5,3634.6,-245.6,-4717.2,90.0,0.0,10,1154；1155；1156；1157；1158；1179；1180；1182；1186；1187,20,4,2,283.7407806807373,4.445629050492762,1,1,2,2,2085,7,蛊,6.2968245965723435,-6.099999999999909,1.0,1.199999999999818,3628.5,-245.2,-4716.0,13.8,352.9,-0.3,0.0,1.2,1.2369316876852983,3628.5,-244.5,-4716.0,110.0,0.0,18,1143；1159；1160；1161；1162；1163；1164；1165；1166；1168；1169；1170；1171；1172；1173；1174；1175；1176,2318,3,骇爪,4.119465984809515,-2.0,-0.10000000000002274,-3.600000000000364,3632.6,-246.3,-4720.8,102.1,0.0,0.0,0.0,0.0,0.0,3632.6,-245.6,-4720.8,90.0,0.0,13,1144；1145；1146；1147；1148；1149；1150；1151；1152；1153；1177；1181；1189
620,task/0620.txt,20.0,1723,8,骇爪,,,,,3650.6,-247.3,-4419.1,78.1,344.5,-0.8,0.0,0.3,0.8544003745317532,3650.6,-246.7,-4419.1,99.0,0.0,0,,20,6,2,229.81934250482803,2.197815877229756,0,0,2,2,8515,5,骇爪,161.2774317751866,147.0999999999999,4.0,66.0,3797.7,-243.3,-4353.1,345.7,359.0,-0.7,0.0,0.2,0.7280109889280517,3797.7,-242.6,-4353.1,100.0,0.0,13,1715；1716；1717；1718；1719；1720；1721；1722；1725；1726；1727；1728；1729,4714,8,红狼,1.664331697709832,0.900000000000091,0.0,1.4000000000005457,3651.5,-247.3,-4417.7,254.2,345.3,-0.4,0.0,-0.0,0.4,3651.5,-246.7,-4417.6,95.0,0.0,0,
621,task/0621.txt,20.0,1723,8,骇爪,,,,,3645.7,-247.3,-4425.9,340.1,346.3,4.3,0.1,2.1,4.7864391775097275,3645.7,-246.7,-4425.9,99.0,0.0,0,,19,6,2,235.463085188263,6.926544823609568,0,0,2,2,6591,2,50003,169.44441566484284,161.20000000000027,3.4000000000000057,52.099999999999454,3806.9,-243.9,-4373.8,106.9,0.2,1.3,0.0,0.4,1.3601470508735443,3806.9,-243.2,-4373.8,77.3,0.0,3,1712；1713；1714,1397,8,比特,4.275511665286522,4.200000000000273,0.0,0.7999999999992724,3649.9,-247.3,-4425.1,67.6,342.5,1.0,0.0,2.1,2.3259406699226015,3649.9,-246.7,-4425.1,120.0,0.0,0,
622,task/0622.txt,20.0,8823,5,蜂医,,,,,6756.2,-218.2,-4526.2,309.6,354.1,5.2,0.0,-2.9,5.953990258641679,6756.2,-217.6,-4526.2,120.0,0.0,5,973；974；975；976；977,18,3,2,25.57495775762625,24.31921502438877,0,1,1,1,0274,1,威龙,10.314068062602828,-0.1999999999998181,-0.5,-10.300000000000182,6756.0,-218.7,-4536.5,34.1,356.9,-1.4,0.0,-0.9,1.6643316977093237,6756.0,-218.1,-4536.5,90.9,0.0,10,1000；1001；981；993；994；995；996；997；998；999,7379,5,乌鲁鲁,8.360023923410926,1.0,0.0,8.300000000000182,6757.2,-218.2,-4517.9,158.0,358.6,0.0,0.0,0.0,0.0,6757.2,-217.5,-4517.9,77.3,0.0,14,978；979；980；982；983；984；985；986；987；988；989；990；991；992
623,task/0623.txt,20.0,0853,6,威龙,,,,,3551.4,-166.5,-8000.7,169.5,353.8,-8.4,-0.0,-1.3,8.5,3551.5,-165.8,-8000.7,89.9,0.0,9,863；864；865；866；867；868；869；870；880,13,9,1,233.98948753641415,214.6845592957257,0,0,0,0,0411,4,露娜,118.21146306513612,39.5,5.099999999999994,111.30000000000018,3590.9,-161.4,-7889.4,308.5,352.8,0.7,0.0,-1.0,1.2206555615733703,3590.9,-161.0,-7889.4,90.0,0.0,2,883；884,0037,6,红狼,214.6845592957257,-191.0999999999999,8.0,97.5,3360.3,-158.5,-7903.2,137.5,345.1,0.0,0.0,1.7,1.7,3360.3,-157.9,-7903.2,105.2,0.0,0,
624,task/0624.txt,20.0,7314,1,红狼,,,,,6620.0,-222.6,-4635.5,64.6,0.2,0.7,0.0,7.1,7.134423592694787,6620.0,-221.9,-4635.6,100.0,0.0,0,,16,8,1,245.5870691740418,67.09850967048374,0,0,0,0,5129,6,威龙,66.67780740246324,64.19999999999982,5.0,17.300000000000182,6684.2,-217.6,-4618.2,271.2,8.7,-1.6,0.0,0.0,1.6,6684.5,-217.0,-4618.3,77.3,0.0,0,,3052,1,露娜,67.09850967048374,66.0,8.599999999999994,-8.5,6686.0,-214.0,-4644.0,96.9,347.5,-0.3,0.0,4.4,4.41021541423999,6686.0,-213.4,-4644.0,90.0,0.0,3,699；700；701
625,task/0625.txt,20.0,1579,2,露娜,,,,,6644.4,-219.5,-4505.4,280.1,325.1,0.1,0.0,-0.7,0.7071067811865475,6644.4,-218.8,-4505.4,90.0,0.0,1,1444,17,9,2,54.34450291841709,20.574146629313528,0,1,0,1,0571,4,30008,18.160396471442766,7.800000000000182,0.0,16.399999999999636,6652.2,-219.5,-4489.0,257.1,359.4,0.0,0.0,0.0,0.0,6651.8,-218.9,-4488.9,77.3,0.0,0,,6294,2,红狼,14.805742129323136,1.7000000000007276,10.400000000000006,-10.400000000000546,6646.1,-209.1,-4515.8,351.5,351.5,7.0,2.2,1.9,7.57957782465488,6646.1,-208.5,-4515.8,84.0,0.0,0,
626,task/0626.txt,20.0,7202,5,威龙,,,,,6474.7,-219.1,-4637.1,47.5,357.7,0.5,0.0,-0.4,0.6403124237432849,6474.7,-218.5,-4637.1,34.9,0.0,10,239；240；241；242；250；255；256；257；258；263,17,14,2,353.03036398468004,22.693204060043612,0,0,1,1,3395,1,露娜,106.84671263075944,-22.599999999999454,-10.5,103.90000000000055,6452.1,-229.6,-4533.2,340.6,330.6,0.0,0.0,-0.0,0.0,6452.1,-229.2,-4533.2,90.0,0.0,1,292,3764,5,蝶,1.3341664064128516,1.300000000000182,0.0,0.3000000000001819,6476.0,-219.1,-4636.8,46.6,357.5,0.0,0.0,0.0,0.0,6476.3,-218.5,-4637.1,71.5,0.0,0,
627,task/0627.txt,20.0,0643,4,红狼,,,,,6651.8,-209.2,-4514.3,242.3,360.0,0.0,0.0,0.0,0.0,6651.8,-208.6,-4514.3,104.8,0.0,0,,18,6,2,220.92160742795122,18.557244648532226,0,0,1,1,3640,1,红狼,216.58859619102736,-179.0,-15.900000000000006,-120.89999999999964,6472.8,-225.1,-4635.2,195.8,353.2,-3.5,0.0,-1.0,3.640054944640259,6472.8,-224.5,-4635.2,120.0,0.0,0,,6149,4,威龙,0.8062257748300805,-0.1000000000003638,0.0,-0.8000000000001819,6651.7,-209.2,-4515.1,242.3,360.0,0.0,0.0,0.0,0.0,6651.7,-208.6,-4515.1,90.0,0.0,1,876
628,task/0628.txt,20.0,5801,7,银翼,,,,,3829.5,-247.7,-4576.1,292.9,351.3,0.0,0.0,0.0,0.0,3829.5,-247.1,-4576.1,110.0,0.0,1,950,19,13,1,207.11350367365577,1.3964240043771872,0,0,1,1,7649,5,疾风,36.473552061733365,-24.800000000000182,-12.199999999999989,-23.799999999999272,3804.7,-259.9,-4599.9,191.8,355.4,-1.6,0.0,-0.4,1.6492422502470645,3804.7,-259.3,-4599.9,89.0,0.0,2,936；937,3466,7,银翼,1.3964240043771872,1.099999999999909,-0.5,0.7000000000007276,3830.6,-248.2,-4575.4,230.5,356.1,0.0,0.0,0.0,0.0,3830.6,-248.2,-4575.4,110.0,0.0,2,933；935
629,task/0629.txt,20.0,3681,3,骇爪,,,,,3765.4,-233.3,-4348.1,29.7,359.7,2.0,1.3,-0.5,2.4372115213907883,3765.4,-232.7,-4348.1,109.8,0.0,0,,20,16,2,229.66707385896163,27.94556805403741,0,0,0,0,3078,6,红狼,37.569402444010265,36.5,8.0,3.9000000000005457,3801.9,-225.3,-4344.2,54.4,349.7,0.1,0.0,-0.1,0.14142135623730953,3801.6,-224.6,-4344.0,77.3,0.0,1,562,2703,3,疾风,27.270863572684934,-25.09999999999991,-10.0,-3.699999999999818,3740.3,-243.3,-4351.8,35.4,0.4,0.3,0.0,2.1,2.1213203435596424,3740.3,-242.6,-4351.8,120.0,0.0,0,
630,task/0630.txt,20.0,3681,3,骇爪,,,,,3693.3,-250.3,-4521.3,48.6,0.0,0.0,0.0,0.0,0.0,3693.3,-249.7,-4521.3,90.0,0.0,13,101；102；28；29；41；44；45；46；47；48；49；50；51,20,17,2,247.8117228868914,2.031806725741345,0,0,2,2,3910,5,骇爪,162.75653596706937,149.0999999999999,2.8000000000000114,65.19999999999982,3842.4,-247.5,-4456.1,142.9,0.0,0.0,0.0,0.0,0.0,3842.4,-246.8,-4456.1,90.0,0.0,13,117；118；33；34；43；84；85；86；87；88；89；90；91,2703,3,疾风,1.6552945357246078,-1.5,0.0,0.6999999999998181,3691.8,-250.3,-4520.6,16.5,0.0,0.0,0.0,0.0,0.0,3691.8,-249.7,-4520.6,90.0,0.0,16,103；105；35；36；42；72；73；74；75；76；77；78；79；80；81；82
631,task/0631.txt,20.0,5400,4,威龙,,,,,6714.5,-198.7,-4512.7,62.1,0.3,-0.4,0.0,2.3,2.33452350598575,6714.5,-198.0,-4512.7,120.0,0.0,10,518；519；520；521；522；530；531；532；533；534,16,13,2,192.97906811163892,19.926906720167096,0,0,0,1,7999,3,露娜,25.264203925712593,23.199999999999818,-0.20000000000001705,10.0,6737.7,-198.9,-4502.7,191.3,357.3,0.0,0.0,0.0,0.0,6737.7,-198.2,-4502.7,77.0,0.0,1,528,8645,4,露娜,13.453624047073603,2.600000000000364,0.0,-13.199999999999818,6717.1,-198.7,-4525.9,116.4,354.3,-4.9,0.0,4.8,6.859300255857007,6717.1,-198.0,-4525.9,90.0,0.0,0,
632,task/0632.txt,19.95,4131,2,疾风,,,,,6747.3,-218.2,-4512.9,202.9,348.8,0.0,0.0,0.0,0.0,6747.3,-217.6,-4512.9,90.0,0.0,4,1215；1216；1227；1228,18,12,0,109.0940658407451,,2,3,0,0,3932,5,露娜,4.866210024238785,-4.800000000000182,0.0,-0.8000000000001819,6742.5,-218.2,-4513.7,36.1,355.9,0.0,0.0,0.0,0.0,6742.5,-217.6,-4513.7,110.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,0,
633,task/0633.txt,20.0,8405,6,威龙,,,,,6718.5,-198.7,-4528.4,121.7,356.6,-0.9,0.0,1.4,1.6643316977093237,6718.5,-198.0,-4528.4,90.5,0.0,5,545；566；585；586；598,16,13,2,73.79895546775123,11.356017071735165,0,0,0,2,2828,7,疾风,27.368960520998705,-26.899999999999636,1.1999999999999886,-4.900000000000546,6691.6,-197.5,-4533.3,250.6,0.0,0.0,9.4,0.0,9.4,6691.6,-196.9,-4533.3,90.0,-0.0,12,546；547；548；549；550；553；554；555；556；558；559；560,4243,6,露娜,10.340696301507203,-3.300000000000182,0.0,-9.800000000000182,6715.2,-198.7,-4538.2,219.4,1.7,1.2,0.0,-1.5,1.9209372712298547,6715.4,-198.1,-4538.4,71.5,0.0,1,565
634,task/0634.txt,20.0,8304,4,30008,,,,,3806.1,-247.0,-4637.8,113.0,357.4,-2.3,0.0,-1.0,2.5079872407968904,3805.7,-246.4,-4638.0,120.0,0.0,2,1183；1192,20,13,2,153.60489578814415,6.463281765478523,1,3,1,2,2688,8,疾风,5.739337940912936,-4.199999999999818,-0.30000000000001137,3.9000000000005457,3801.9,-247.3,-4633.9,324.8,358.2,-2.6,0.0,-4.5,5.197114584074513,3801.9,-246.9,-4633.9,104.8,0.0,7,1184；1185；1189；1204；1205；1206；1207,9956,4,骇爪,1.43178210632754,-1.2999999999997272,0.0,0.6000000000003638,3804.8,-247.0,-4637.2,105.8,0.5,0.0,0.0,0.0,0.0,3804.8,-246.4,-4637.2,120.0,0.0,1,1195
635,task/0635.txt,20.0,5112,7,红狼,,,,,6655.1,-212.7,-4543.2,324.2,0.0,0.0,-5.2,0.0,5.2,6655.1,-212.1,-4543.2,120.0,0.0,6,620；623；624；625；626；628,17,9,2,146.30459102546658,4.1051691056793524,0,0,2,2,9527,5,疾风,31.322356233208417,3.5,14.0,-27.800000000000182,6658.6,-198.7,-4571.0,100.0,308.5,3.1,0.0,0.6,3.157530680769389,6658.7,-198.0,-4571.0,104.8,0.0,0,,7187,7,露娜,0.7874007874007393,0.2999999999992724,0.19999999999998863,0.6999999999998181,6655.4,-212.5,-4542.5,234.2,360.0,-0.0,-0.1,-0.0,0.1,6655.4,-211.8,-4542.5,85.0,0.0,0,
636,task/0636.txt,20.0,1723,8,骇爪,,,,,3628.1,-247.4,-4722.9,213.3,356.2,-3.6,0.0,-2.4,4.326661530556787,3628.1,-246.8,-4722.9,99.0,0.0,0,,19,8,2,399.45422918737256,2.432438450315569,0,0,2,2,0287,3,银翼,202.46777521373625,175.4000000000001,5.200000000000017,-101.0,3803.5,-242.2,-4823.9,187.0,354.0,-7.8,-9.2,-0.8,12.08801058900926,3803.5,-242.2,-4823.9,90.0,0.0,0,,1397,8,比特,1.5033296378373149,1.5,0.0,-0.1000000000003638,3629.6,-247.4,-4723.0,128.8,351.3,0.0,0.0,0.0,0.0,3629.6,-246.8,-4723.0,120.0,0.0,0,
637,task/0637.txt,20.0,0853,6,威龙,,,,,3199.4,-163.9,-7640.0,0.0,0.0,0.0,0.0,0.0,0.0,3199.4,-164.0,-7640.0,89.9,0.0,0,,13,3,0,700.6963920225904,,0,0,0,0,2386,4,蝶,637.6267952337006,562.7999999999997,-2.0,-299.6999999999998,3762.2,-165.9,-7939.7,48.9,357.3,1.8,2.7,-4.2,5.30754180388624,3762.3,-165.3,-7940.1,90.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,0,
